block0, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block1, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block2, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block3, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block4, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block5, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block6, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block7, (nan, nan), (3.3703660139432174, 0.8728386027151639), (nan, nan), (3.862527553644155, 0.06900329981746654),  (17690.433953712814, 0.32878388193398606)
block0, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block1, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block2, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block3, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block4, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block5, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block6, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block7, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.22504882121, 0.0)
block1, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block2, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block3, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block4, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block5, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block6, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block7, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
block8, (nan, nan), (2.8163530085701494, 0.0), (nan, nan), (3.793786248506028, 0.0),  (17690.20469109501, 0.0)
