Epoch 0|Total loss: 19231.42578125|Reconstruction loss: 19058.4609375|KL divergence: 172.96571350097656|Epoch time: 17.379992961883545
Epoch 1|Total loss: 17877.712890625|Reconstruction loss: 17651.546875|KL divergence: 226.16661071777344|Epoch time: 17.321423768997192
Epoch 2|Total loss: 17256.71484375|Reconstruction loss: 16996.50390625|KL divergence: 260.2114562988281|Epoch time: 17.280508995056152
Epoch 3|Total loss: 16493.638671875|Reconstruction loss: 16090.662109375|KL divergence: 402.9764404296875|Epoch time: 17.48694109916687
Epoch 4|Total loss: 15175.658203125|Reconstruction loss: 14733.5849609375|KL divergence: 442.07305908203125|Epoch time: 17.72921586036682
Epoch 5|Total loss: 14385.6435546875|Reconstruction loss: 13825.943359375|KL divergence: 559.699951171875|Epoch time: 16.414952993392944
Epoch 6|Total loss: 13742.8994140625|Reconstruction loss: 13234.55859375|KL divergence: 508.340576171875|Epoch time: 17.295063972473145
Epoch 7|Total loss: 13653.814453125|Reconstruction loss: 13107.765625|KL divergence: 546.0491333007812|Epoch time: 17.383786916732788
Epoch 8|Total loss: 13370.83203125|Reconstruction loss: 12783.5|KL divergence: 587.3318481445312|Epoch time: 17.516016006469727
Epoch 9|Total loss: 13347.2353515625|Reconstruction loss: 12761.537109375|KL divergence: 585.6978759765625|Epoch time: 17.523957014083862
Epoch 10|Total loss: 13344.8525390625|Reconstruction loss: 12754.92578125|KL divergence: 589.9271850585938|Epoch time: 17.39626431465149
Epoch 11|Total loss: 13197.58984375|Reconstruction loss: 12609.7734375|KL divergence: 587.816650390625|Epoch time: 17.332746982574463
Epoch 12|Total loss: 12959.263671875|Reconstruction loss: 12356.6806640625|KL divergence: 602.5830078125|Epoch time: 17.276798963546753
Epoch 13|Total loss: 12983.70703125|Reconstruction loss: 12364.650390625|KL divergence: 619.0565185546875|Epoch time: 17.355898141860962
Epoch 14|Total loss: 12906.177734375|Reconstruction loss: 12264.001953125|KL divergence: 642.1762084960938|Epoch time: 17.296965837478638
Epoch 15|Total loss: 12882.193359375|Reconstruction loss: 12221.78515625|KL divergence: 660.408447265625|Epoch time: 17.443572998046875
Epoch 16|Total loss: 12890.783203125|Reconstruction loss: 12225.71875|KL divergence: 665.0643310546875|Epoch time: 17.381262063980103
Epoch 17|Total loss: 12892.271484375|Reconstruction loss: 12157.671875|KL divergence: 734.59912109375|Epoch time: 17.077749013900757
Epoch 18|Total loss: 12852.3173828125|Reconstruction loss: 12084.822265625|KL divergence: 767.4952392578125|Epoch time: 18.18163299560547
Epoch 19|Total loss: 12517.7666015625|Reconstruction loss: 11770.37109375|KL divergence: 747.3955078125|Epoch time: 18.483608722686768
Epoch 20|Total loss: 12741.533203125|Reconstruction loss: 12006.9423828125|KL divergence: 734.5908203125|Epoch time: 18.352864980697632
Epoch 21|Total loss: 12745.2041015625|Reconstruction loss: 12046.1689453125|KL divergence: 699.0352783203125|Epoch time: 18.44114923477173
Epoch 22|Total loss: 12722.416015625|Reconstruction loss: 12044.603515625|KL divergence: 677.8128051757812|Epoch time: 18.81699776649475
Epoch 23|Total loss: 12644.2919921875|Reconstruction loss: 11926.490234375|KL divergence: 717.802001953125|Epoch time: 18.38993501663208
Epoch 24|Total loss: 12450.376953125|Reconstruction loss: 11695.11328125|KL divergence: 755.2633056640625|Epoch time: 17.337608098983765
Epoch 25|Total loss: 12666.3134765625|Reconstruction loss: 11952.5625|KL divergence: 713.7512817382812|Epoch time: 16.04486608505249
Epoch 26|Total loss: 12515.50390625|Reconstruction loss: 11806.7314453125|KL divergence: 708.7726440429688|Epoch time: 16.178387880325317
